hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
"Resort Hotel",0,0,2015,August,32,3,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,C,C,0,"No Deposit",241,0,Transient,145,0,0,Check-Out,2015-08-04
"Resort Hotel",0,0,2015,August,32,4,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,"No Deposit",250,0,Transient,172,0,0,Check-Out,2015-08-05
"Resort Hotel",0,0,2015,August,32,8,0,1,2,0,0,BB,CHN,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,172,1,0,Check-Out,2015-08-09
"Resort Hotel",0,0,2015,August,33,13,0,1,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,A,B,0,"No Deposit",240,0,Transient,172,0,1,Check-Out,2015-08-14
"Resort Hotel",0,0,2015,August,33,14,0,1,2,0,0,BB,CHN,"Online TA",TA/TO,0,0,0,D,F,0,"No Deposit",240,0,Transient-Party,172,0,2,Check-Out,2015-08-15
"Resort Hotel",0,0,2015,August,33,14,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,E,0,"No Deposit",240,0,Transient,121,0,0,Check-Out,2015-08-15
"Resort Hotel",0,0,2015,August,33,14,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,F,0,"No Deposit",240,0,Transient-Party,172,0,2,Check-Out,2015-08-15
"Resort Hotel",0,0,2015,August,33,14,1,2,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,B,0,"No Deposit",240,0,Transient,179,0,2,Check-Out,2015-08-17
"Resort Hotel",0,0,2015,August,34,16,1,0,2,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,G,0,"No Deposit",240,0,Group,195,0,0,Check-Out,2015-08-17
"Resort Hotel",0,0,2015,August,35,24,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,F,0,"No Deposit",240,0,Transient,153,0,0,Check-Out,2015-08-25
"Resort Hotel",0,0,2015,August,35,29,1,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,134,0,1,Check-Out,2015-08-31
"Resort Hotel",0,0,2015,August,36,31,1,0,2,0,0,BB,SWE,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",241,0,Transient,93,0,1,Check-Out,2015-09-01
"Resort Hotel",0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,"No Deposit",NULL,0,Transient,107,0,0,Check-Out,2015-07-02
"Resort Hotel",0,0,2015,July,27,2,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,118,0,2,Check-Out,2015-07-03
"Resort Hotel",0,0,2015,July,28,5,1,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,C,1,"No Deposit",306,0,Transient,85,0,0,Check-Out,2015-07-06
"Resort Hotel",0,0,2015,July,28,6,0,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,H,0,"No Deposit",250,0,Transient,0,0,0,Check-Out,2015-07-06
"Resort Hotel",0,0,2015,July,28,7,0,1,1,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,110,0,3,Check-Out,2015-07-08
"Resort Hotel",0,0,2015,July,28,8,0,1,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",146,0,Transient,61,0,0,Check-Out,2015-07-09
"Resort Hotel",0,0,2015,July,28,11,0,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,131,0,1,Check-Out,2015-07-12
"Resort Hotel",0,0,2015,July,28,11,0,1,2,0,0,HB,DEU,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,145,0,1,Check-Out,2015-07-12
"Resort Hotel",0,0,2015,July,29,13,1,1,2,0,0,BB,AUS,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,118,1,0,Check-Out,2015-07-15
"Resort Hotel",0,0,2015,July,29,13,1,3,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",167,0,Transient,114,0,0,Check-Out,2015-07-17
"Resort Hotel",0,0,2015,July,29,14,0,4,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,111,0,1,Check-Out,2015-07-18
"Resort Hotel",0,0,2015,July,30,19,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",NULL,0,Group,88,0,0,Check-Out,2015-07-20
"Resort Hotel",0,0,2015,July,30,19,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Group,98,1,0,Check-Out,2015-07-20
"Resort Hotel",0,0,2015,July,30,20,0,0,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,I,0,"No Deposit",5,0,Transient,0,0,0,Check-Out,2015-07-20
"Resort Hotel",0,0,2015,July,30,20,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,I,0,"No Deposit",241,0,Transient,0,0,1,Check-Out,2015-07-20
"Resort Hotel",0,0,2015,July,30,23,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,"No Deposit",250,0,Transient,134,0,0,Check-Out,2015-07-24
"Resort Hotel",0,0,2015,July,30,25,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",241,0,Transient,89,0,0,Check-Out,2015-08-01
"Resort Hotel",0,0,2015,July,31,31,0,2,2,0,0,HB,PRT,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,193,0,1,Check-Out,2015-08-02
"Resort Hotel",0,0,2015,November,45,2,1,5,2,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,D,1,"No Deposit",240,0,Transient,51,0,1,Check-Out,2015-11-08
"Resort Hotel",0,0,2015,November,45,3,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,42,1,1,Check-Out,2015-11-04
"Resort Hotel",0,0,2015,November,45,3,0,2,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,40,1,1,Check-Out,2015-11-05
"Resort Hotel",0,0,2015,November,45,4,0,2,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,44,0,1,Check-Out,2015-11-06
